alpha3,gdp
ABW,3126019399.06492
AFE,1089454323810.36
AFG,14786861638.4535
AFW,840187283626.448
AGO,67404287260.3199
ALB,18255787479.1846
AND,3330281523.53915
ARB,2862987423061.49
ARE,415021590683.006
ARG,487227339102.67
ARM,13861409968.835
ASM,709000000.0
ATG,1471125925.92593
AUS,1552667363236.06
AUT,480368403893.364
AZE,54622176470.5882
BDI,2779813489.02447
BEL,594104177539.525
BEN,17144918952.4682
BFA,19737615114.3661
BGD,416264942893.326
BGR,84056312734.3089
BHR,38868663031.9149
BHS,11208600000.0
BIH,23365361635.2201
BLR,68205380706.6609
BLZ,2491500000.0
BMU,7286607000.0
BOL,40408208528.1599
BRA,1608981456325.08
BRB,4843800000.0
BRN,14006569575.68
BTN,2539552984.67797
BWA,17614791265.6824
CAF,2516498299.01212
CAN,1988336331717.42
CEB,1901935313869.67
CHE,800640155387.26
CHI,
CHL,317058508651.76
CHN,17734062645371.4
CIV,70043191477.0454
CMR,45338283344.8175
COD,55350968593.0597
COG,13366230219.5352
COL,314464137241.33
COM,1296089632.60039
CPV,1936174043.45293
CRI,64282438666.739
CSS,75295300457.2966
CUB,
CUW,2699612458.10056
CYM,5898449687.97711
CYP,28407867534.0035
CZE,281777887121.451
DEU,4259934911821.64
DJI,3482987379.0942
DMA,554181481.481481
DNK,398303272764.46
DOM,94243453937.4462
DZA,163044443983.759
EAP,20751789915914.3
EAR,12637296304146.5
EAS,30911686458694.3
ECA,3517372658753.68
ECS,25082834224986.1
ECU,106165866000.0
EGY,404142766093.053
EMU,14563282816938.9
ERI,
ESP,1427380681294.55
EST,37191166151.98
ETH,111271112329.975
EUU,17177419592825.0
FCS,1799023437650.12
FIN,297301883523.251
FJI,4296304590.01135
FRA,2957879759263.52
FRO,3649886275.07118
FSM,404028900.0
GAB,20216843173.9702
GBR,3131377762925.95
GEO,18629365597.0017
GHA,77594279054.8795
GIB,
GIN,16091817842.2342
GMB,2038417462.37695
GNB,1638517533.16504
GNQ,12269392839.7472
GRC,214873879833.648
GRD,1122807407.40741
GRL,
GTM,85985752107.4679
GUM,6123000000.0
GUY,8044498800.95923
HIC,59829674153980.1
HKG,369176400967.427
HND,28488668301.6401
HPC,891901460388.385
HRV,68955083280.1922
HTI,20944392615.0803
HUN,181848022233.89
IBD,35511412304437.1
IBT,38062847856443.9
IDA,2549112031362.93
IDB,1096478315864.49
IDN,1186092991320.04
IDX,1456252171238.16
IMN,
IND,3176295065497.24
INX,
IRL,504182603275.542
IRN,359713152725.063
IRQ,207889333724.138
ISL,25602419210.3374
ISR,488526545878.891
ITA,2107702842669.73
JAM,14657586937.0735
JOR,45744271658.9141
JPN,4940877780755.33
KAZ,197112255360.612
KEN,110347079517.356
KGZ,8543423502.6134
KHM,26961061119.7957
KIR,207031250.0
KNA,860840740.740741
KOR,1810955871380.98
KWT,
