iso,value
AFG,12603486.0
ALB,3042696.0
DZA,15267442.0
ASM,111316.0
AND,156242.0
AGO,23893345.0
AIA,24474.0
ATG,136512.0
ARG,109652736.0
ARM,2150112.0
ABW,174153.0
AUS,64549484.0
AUT,20323606.0
AZE,13795966.0
BHS,364701.0
BHR,3476633.0
BGD,346605580.0
BRB,381013.0
BLR,18630189.0
BEL,29089615.0
BLZ,501952.0
BEN,4232541.0
BMU,132042.0
BTN,2011426.0
BOL,15639099.0
XAA,41537.0
BES,35845.0
BIH,1924950.0
BWA,3121142.0
BRA,498527141.0
VGB,41453.0
BRN,1283392.0
BGR,4608942.0
BFA,5117982.0
BDI,32265.0
CPV,859940.0
KHM,45271453.0
CMR,4003595.0
CAN,92773774.0
CYM,150126.0
CAF,2457192.0
TCD,3891785.0
CHL,63793606.0
CHN,3465113661.0
COL,90046356.0
COM,835021.0
COG,833210.0
COK,39612.0
CRI,12666724.0
CIV,23755644.0
HRV,5357755.0
CUB,37982509.0
CUW,256029.0
CYP,1847465.0
CZE,18578127.0
COD,17435502.0
DNK,15122383.0
DJI,338051.0
DMA,67647.0
DOM,15887155.0
ECU,39329543.0
EGY,101227614.0
SLV,11343183.0
GNQ,488738.0
ERI,
EST,2189920.0
SWZ,773579.0
ETH,52509414.0
FLK,9390.0
FRO,103894.0
FJI,1545993.0
FIN,13204202.0
FRA,157206259.0
GUF,238670.0
PYF,498258.0
GAB,572672.0
GMB,815861.0
GEO,2727974.0
DEU,192798040.0
GHA,21400939.0
GIB,132810.0
GRC,21917786.0
GRL,79738.0
GRD,90507.0
GLP,392954.0
GUM,368088.0
GTM,19975346.0
GGY,178525.0
GIN,8749048.0
GNB,673091.0
GUY,953690.0
HTI,512556.0
HND,16850623.0
HUN,16557752.0
ISL,863954.0
IND,2201853088.0
IDN,444303130.0
IRN,154942435.0
IRQ,19557364.0
IRL,12163445.0
IMN,189994.0
ISR,15026951.0
ITA,149861273.0
JAM,1507273.0
JPN,371971415.0
JEY,266569.0
JOR,10057975.0
KAZ,33496177.0
KEN,23132128.0
KIR,193491.0
XKX,1836162.0
KWT,8256588.0
KGZ,3057013.0
LAO,12788802.0
LVA,2971770.0
LBN,5814699.0
LSO,1259488.0
LBR,4460668.0
LBY,3739158.0
LIE,71104.0
LTU,4526395.0
LUX,1335147.0
MDG,2426238.0
MWI,6876517.0
MYS,72388208.0
MDV,951419.0
MLI,4468360.0
MLT,1279015.0
MHL,85198.0
MTQ,396369.0
MRT,4066473.0
MUS,2613037.0
MEX,225063079.0
FSM,170346.0
MCO,71027.0
MNG,5665952.0
MNE,523735.0
MSR,4619.0
MAR,55367864.0
MOZ,29140427.0
MMR,64549994.0
NAM,975554.0
NRU,24143.0
NPL,60789000.0
NLD,36105753.0
NCL,478127.0
NZL,11959748.0
NIC,12132092.0
NER,7187711.0
NGA,108052995.0
NIU,4920.0
MKD,1862722.0
MNP,116159.0
NOR,12285089.0
PSE,3748571.0
OMN,7086050.0
PAK,317696373.0
PLW,53177.0
PAN,8696911.0
PNG,508964.0
PRY,9514267.0
PER,86696302.0
PHL,169838560.0
PCN,138.0
POL,57982247.0
PRT,27592694.0
PRI,7937790.0
QAT,7603722.0
KOR,136127066.0
MDA,2274620.0
ROU,16098236.0
RUS,183894218.0
RWA,26106436.0
XCA,4471.0
SHN,7892.0
KNA,64297.0
LCA,122977.0
VCT,73301.0
WSM,449369.0
SMR,69338.0
STP,228291.0
SAU,68148406.0
SEN,2835726.0
SRB,6719835.0
SYC,219489.0
SLE,6444983.0
SGP,14875986.0
XBA,4257.0
SXM,65515.0
SVK,7215074.0
SVN,3023686.0
SLB,566981.0
SOM,8726329.0
ZAF,38050611.0
SSD,2322220.0
ESP,111379240.0
LKA,40116590.0
SDN,13711970.0
SUR,554588.0
SWE,23267037.0
CHE,16700671.0
SYR,4971203.0
TJK,18871161.0
THA,137976764.0
GBR,151248820.0
TLS,1984560.0
TGO,3398304.0
TKL,6342.0
TON,203466.0
TTO,1583404.0
TUN,13241985.0
TUR,139664329.0
TKM,8286809.0
TCA,73907.0
TUV,25591.0
UGA,26299538.0
UKR,31668577.0
ARE,24922054.0
TZA,35994687.0
USA,657138482.0
URY,8786142.0
UZB,73472066.0
VUT,292146.0
VEN,37860994.0
VNM,265536860.0
WLF,16782.0
YEM,1242982.0
ZMB,13614983.0
ZWE,12694853.0
